length_years,start,valued_at,contributions,strategy_xirr,index_xirr,spread
10,1975-01-01,1984-12-31,40,0.14132750049541423,0.13207282759778124,0.009254672897632987
10,1975-04-01,1985-03-31,40,0.14550392311972185,0.14154890238182893,0.003955020737892917
10,1975-07-01,1985-06-30,40,0.14689767680945248,0.14900664347726167,-0.0021089666678091867
10,1975-10-01,1985-09-30,40,0.13675049507444215,0.13646938455350457,0.00028111052093757194
10,1976-01-01,1985-12-31,40,0.16770906915442368,0.15986732314529167,0.007841746009132011
10,1976-04-01,1986-03-31,40,0.1653062834066832,0.17867431648798612,-0.01336803308130291
10,1976-07-01,1986-06-30,40,0.17178710240412381,0.18426890504078217,-0.012481802636658351
10,1976-10-01,1986-09-30,40,0.15641365653862319,0.16588934600631822,-0.009475689467695031
10,1977-01-01,1986-12-31,40,0.15166618792831554,0.1708531138896129,-0.01918692596129737
10,1977-04-01,1987-03-31,40,0.16998250747284943,0.20152153632966174,-0.03153902885681231
10,1977-07-01,1987-06-30,40,0.17779338408953294,0.2045686436455907,-0.02677525955605775
10,1977-10-01,1987-09-30,40,0.18129581504983833,0.21019605305457542,-0.028900238004737094
10,1978-01-01,1987-12-31,40,0.13172863276132377,0.1568039689944814,-0.025075336233157636
10,1978-04-01,1988-03-31,40,0.1285012706452078,0.16117045315028602,-0.03266918250507822
10,1978-07-01,1988-06-30,40,0.1448455783173682,0.16593526891195984,-0.021089690594591648
10,1978-10-01,1988-09-30,40,0.13142598685133616,0.15976033132556686,-0.028334344474230694
10,1979-01-01,1988-12-31,40,0.13267822778274008,0.15899750052534167,-0.026319272742601596
10,1979-04-01,1989-03-31,40,0.13069506936932293,0.16461961395868324,-0.03392454458936031
10,1979-07-01,1989-06-30,40,0.14593365423114002,0.1733388479457496,-0.027405193714609588
10,1979-10-01,1989-09-30,40,0.1595474872500354,0.18491315253724644,-0.025365665287211042
10,1980-01-01,1989-12-31,40,0.1617389582855701,0.18172296107038108,-0.019984002784810967
10,1980-04-01,1990-03-31,40,0.15281731890232933,0.16911411582481006,-0.016296796922480733
10,1980-07-01,1990-06-30,40,0.14557361040414524,0.1725695097711003,-0.026995899366955067
10,1980-10-01,1990-09-30,40,0.1205374751475667,0.13836710855825457,-0.01782963341068787
10,1981-01-01,1990-12-31,40,0.12161311396548913,0.14812399734890117,-0.026510883383412037
10,1981-04-01,1991-03-31,40,0.12269968863443352,0.16745392116709543,-0.044754232532661906
10,1981-07-01,1991-06-30,40,0.09488052224380132,0.16107901221688212,-0.0661984899730808
10,1981-10-01,1991-09-30,40,0.09048145947827846,0.1640274678659279,-0.07354600838764944
10,1982-01-01,1991-12-31,40,0.07268483737798913,0.17101600521116866,-0.09833116783317954
10,1982-04-01,1992-03-31,40,0.04297313522799055,0.15871025112822681,-0.11573711590023626
10,1982-07-01,1992-06-30,40,0.05125704563183744,0.15364788105170396,-0.10239083541986652
10,1982-10-01,1992-09-30,40,0.011672794591935867,0.1499201572606695,-0.13824736266873364
10,1983-01-01,1992-12-31,40,-0.07849295004255386,0.15048611159627495,-0.2289790616388288
10,1983-04-01,1993-03-31,40,-0.06655406014461404,0.1511119255665677,-0.21766598571118173
10,1983-07-01,1993-06-30,40,-0.06567582230822176,0.14521819009878667,-0.21089401240700845
10,1983-10-01,1993-09-30,40,-0.07868280229386522,0.14375528020808517,-0.2224380825019504
10,1984-01-01,1993-12-31,40,-0.047744088299193764,0.14148101327665868,-0.18922510157585246
10,1984-04-01,1994-03-31,40,-0.04871084390948744,0.12772576126604307,-0.1764366051755305
10,1984-07-01,1994-06-30,40,-0.047614409593223016,0.1214100306527972,-0.1690244402460202
