length_years,starts,windows,mean_spread,median_spread,min_spread,max_spread,share_beat_index,share_lagged_by_more_than_2%,share_within_1pp,mean_sharpe_spread,share_sharpe_above_index,share_max_dd_deeper_than_index
10,all,165,-0.010059258132561472,-0.02412742374191576,-0.2289790616388288,0.16725636536438887,0.36363636363636365,0.5272727272727272,0.08484848484848485,-0.19839379961800788,0.22424242424242424,0.7636363636363637
10,start < 1996-01-01,84,-0.03277281320415943,-0.020536846689701307,-0.2289790616388288,0.06955786776318715,0.39285714285714285,0.5,0.11904761904761904,-0.28200302363976537,0.2619047619047619,0.7857142857142857
10,start >= 1996-01-01,81,0.013495539719466038,-0.02616523027615471,-0.0742991271034255,0.16725636536438887,0.3333333333333333,0.5555555555555556,0.04938271604938271,-0.1116879376695186,0.18518518518518517,0.7407407407407407
15,all,145,-0.013958264719456838,-0.029783756379086368,-0.07179631460314241,0.07758375656833383,0.35172413793103446,0.5793103448275863,0.0896551724137931,-0.1889845289840195,0.09655172413793103,0.6551724137931034
15,start < 1996-01-01,84,-0.018008958903641428,-0.027459453384355285,-0.07179631460314241,0.029195121470644986,0.34523809523809523,0.5476190476190477,0.11904761904761904,-0.21285348028205578,0.08333333333333333,0.6547619047619048
15,start >= 1996-01-01,61,-0.008380259613366579,-0.035289498768524385,-0.055815568964466385,0.07758375656833383,0.36065573770491804,0.6229508196721312,0.04918032786885246,-0.15611580916377282,0.11475409836065574,0.6557377049180327
20,all,125,-0.011422552863612335,-0.012787920994661806,-0.03826188918654367,0.02907520795392811,0.304,0.4,0.288,-0.16468918409759337,0.008,0.616
20,start < 1996-01-01,84,-0.012085343549806962,-0.01285088778452121,-0.038067767745647546,0.02907520795392811,0.25,0.38095238095238093,0.32142857142857145,-0.1636154595150597,0.011904761904761904,0.5476190476190477
20,start >= 1996-01-01,41,-0.010064640238237981,-0.012787920994661806,-0.03826188918654367,0.019774220846824564,0.4146341463414634,0.43902439024390244,0.21951219512195122,-0.1668890100715647,0.0,0.7560975609756098
