# Transcribed from https://historicalstockinfo.com/att-corp-stock-prices-table/ (site cites NYT archive, S&P Stock Price Record, Yahoo). Footnotes on source: month-end prices not adjusted for splits; pre-divestiture prices are the high-low average of the last market day of the month. 1998 missing at source.
date,price,raw,basis,fix_note
2002-09-30,12.01,12.01,"AT&T Corp month-end close, not split-adjusted",
2002-10-31,13.04,13.04,"AT&T Corp month-end close, not split-adjusted",
2002-11-30,28.04,28.04,"AT&T Corp month-end close, not split-adjusted",
2002-12-31,26.11,26.11,"AT&T Corp month-end close, not split-adjusted",
2003-01-31,19.48,19.48,"AT&T Corp month-end close, not split-adjusted",
2003-02-28,18.54,18.54,"AT&T Corp month-end close, not split-adjusted",
2003-03-31,16.2,16.20,"AT&T Corp month-end close, not split-adjusted",
2003-04-30,17.05,17.05,"AT&T Corp month-end close, not split-adjusted",
2003-05-31,19.49,19.49,"AT&T Corp month-end close, not split-adjusted",
2003-06-30,19.25,19.25,"AT&T Corp month-end close, not split-adjusted",
2003-07-31,21.26,21.26,"AT&T Corp month-end close, not split-adjusted",
2003-08-31,22.3,22.30,"AT&T Corp month-end close, not split-adjusted",
2003-09-30,21.55,21.55,"AT&T Corp month-end close, not split-adjusted",
2003-10-31,18.59,18.59,"AT&T Corp month-end close, not split-adjusted",
2003-11-30,19.83,19.83,"AT&T Corp month-end close, not split-adjusted",
2003-12-31,20.3,20.30,"AT&T Corp month-end close, not split-adjusted",
2004-01-31,19.46,19.46,"AT&T Corp month-end close, not split-adjusted",
2004-02-29,20.03,20.03,"AT&T Corp month-end close, not split-adjusted",
2004-03-31,19.57,19.57,"AT&T Corp month-end close, not split-adjusted",
2004-04-30,17.15,17.15,"AT&T Corp month-end close, not split-adjusted",
2004-05-31,16.58,16.58,"AT&T Corp month-end close, not split-adjusted",
2004-06-30,14.63,14.63,"AT&T Corp month-end close, not split-adjusted",
2004-07-31,15.1,15.10,"AT&T Corp month-end close, not split-adjusted",
2004-08-31,14.78,14.78,"AT&T Corp month-end close, not split-adjusted",
2004-09-30,14.32,14.32,"AT&T Corp month-end close, not split-adjusted",
2004-10-31,17.11,17.11,"AT&T Corp month-end close, not split-adjusted",
2004-11-30,18.3,18.30,"AT&T Corp month-end close, not split-adjusted",
2004-12-31,19.06,19.06,"AT&T Corp month-end close, not split-adjusted",
2005-01-31,19.19,19.19,"AT&T Corp month-end close, not split-adjusted",
2005-02-28,19.43,19.43,"AT&T Corp month-end close, not split-adjusted",
2005-03-31,18.75,18.75,"AT&T Corp month-end close, not split-adjusted",
2005-04-30,19.13,19.13,"AT&T Corp month-end close, not split-adjusted",
2005-05-31,18.99,18.99,"AT&T Corp month-end close, not split-adjusted",
2005-06-30,19.04,19.04,"AT&T Corp month-end close, not split-adjusted",
2005-07-31,19.8,19.80,"AT&T Corp month-end close, not split-adjusted",
2005-08-31,19.68,19.68,"AT&T Corp month-end close, not split-adjusted",
2005-09-30,19.8,19.80,"AT&T Corp month-end close, not split-adjusted",
2005-10-31,19.78,19.78,"AT&T Corp month-end close, not split-adjusted",
2005-11-18,20.35,*20.35,"AT&T Corp month-end close, not split-adjusted",source marks this as the 2005-11-18 close (last day before SBC merger)
