year,period,rank,company,value_musd,ref_url,table_note,wiki_revision
2025,Q2,6,Meta,1860000.0,,This list is up to date as of 31 December 2025 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2025,Q3,6,Meta,1845000.0,,This list is up to date as of 31 December 2025 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2025,Q4,6,Meta,1671000.0,,This list is up to date as of 31 December 2025 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2025,Q1,7,Berkshire Hathaway,1140000.0,,This list is up to date as of 31 December 2025 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2025,Q2,7,Broadcom,1300000.0,,This list is up to date as of 31 December 2025 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2025,Q3,7,Broadcom,1589000.0,,This list is up to date as of 31 December 2025 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2025,Q4,7,Broadcom,1669000.0,,This list is up to date as of 31 December 2025 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2025,Q1,8,Tesla,833529.0,,This list is up to date as of 31 December 2025 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2025,Q2,8,TSMC,1170000.0,,This list is up to date as of 31 December 2025 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2025,Q3,8,Tesla,1478000.0,,This list is up to date as of 31 December 2025 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2025,Q4,8,Tesla,1580000.0,,This list is up to date as of 31 December 2025 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2025,Q1,9,Broadcom,787247.0,,This list is up to date as of 31 December 2025 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2025,Q2,9,Berkshire Hathaway,1050000.0,,This list is up to date as of 31 December 2025 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2025,Q3,9,TSMC,1448000.0,,This list is up to date as of 31 December 2025 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2025,Q4,9,TSMC,1570000.0,,This list is up to date as of 31 December 2025 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2025,Q1,10,Eli Lilly,782950.0,,This list is up to date as of 31 December 2025 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2025,Q2,10,Tesla,1020000.0,,This list is up to date as of 31 December 2025 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2025,Q3,10,Berkshire Hathaway,1086000.0,,This list is up to date as of 31 December 2025 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2025,Q4,10,Berkshire Hathaway,1074000.0,,This list is up to date as of 31 December 2025 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
2024,Q1,1,Microsoft,3126000.0,,This list is up to date as of 31 December 2024 [update] . Indicated changes in market value are relative to the previous quarter.,1371146339
