date,ticker,action,amount
2009-10-01,XOM,add_25,500.0
2009-10-01,XOM,add_25,500.0
2009-10-01,XOM,add_25,500.0
2009-10-01,XOM,add_25,500.0
2009-10-01,XOM,add_25,500.0
2009-10-01,XOM,add_25,500.0
2009-10-01,XOM,add_25,500.0
2009-10-01,XOM,add_25,500.0
2010-07-01,XOM,add_25,500.0
2010-07-01,XOM,add_25,500.0
2010-07-01,XOM,add_25,500.0
2010-07-01,XOM,add_25,500.0
2013-04-01,AAPL,add_25,500.0
2013-04-01,AAPL,add_25,500.0
2013-04-01,AAPL,add_25,500.0
2013-04-01,AAPL,add_25,500.0
2019-01-01,AAPL,add_25,500.0
2019-01-01,AAPL,add_25,500.0
2019-01-01,AAPL,add_25,500.0
2019-01-01,AAPL,add_25,500.0
2019-01-01,AAPL,add_25,500.0
2019-01-01,AAPL,add_25,500.0
2019-01-01,AAPL,add_25,500.0
2019-01-01,AAPL,add_25,500.0
2019-01-01,AAPL,add_25,500.0
2019-01-01,AAPL,add_25,500.0
2019-01-01,AAPL,add_25,500.0
2019-01-01,AAPL,add_25,500.0
2019-01-01,AAPL,add_25,500.0
2019-01-01,AAPL,add_25,500.0
2019-01-01,AAPL,add_25,500.0
2019-01-01,AAPL,add_25,500.0
2019-01-01,AAPL,add_25,500.0
2019-01-01,AAPL,add_25,500.0
2019-01-01,AAPL,add_25,500.0
2019-01-01,AAPL,add_25,500.0
2019-01-01,AAPL,add_25,500.0
2019-01-01,AAPL,add_25,500.0
2019-01-01,AAPL,add_25,500.0
2020-04-01,XOM,add_50,500.0
2020-04-01,XOM,add_50,500.0
2020-04-01,XOM,add_50,500.0
2020-04-01,XOM,add_50,500.0
2020-04-01,XOM,add_50,500.0
2020-04-01,XOM,add_50,500.0
2020-04-01,XOM,add_50,500.0
2020-04-01,XOM,add_50,500.0
2020-04-01,XOM,add_50,500.0
2020-04-01,XOM,add_50,500.0
2020-04-01,XOM,add_50,500.0
2020-04-01,XOM,add_50,500.0
2020-04-01,XOM,add_25,500.0
2020-04-01,XOM,add_25,500.0
2020-04-01,XOM,add_25,500.0
2020-04-01,XOM,add_25,500.0
2020-04-01,XOM,add_25,500.0
2020-04-01,XOM,add_25,500.0
2020-04-01,XOM,add_25,500.0
2020-04-01,XOM,add_25,500.0
2020-04-01,XOM,add_25,500.0
2020-04-01,XOM,add_25,500.0
2020-04-01,XOM,add_25,500.0
2020-04-01,XOM,add_25,500.0
2020-10-01,XOM,add_50,500.0
2020-10-01,XOM,add_50,500.0
2020-10-01,XOM,add_50,500.0
2020-10-01,XOM,add_50,500.0
2020-10-01,XOM,add_50,500.0
2020-10-01,XOM,add_50,500.0
2020-10-01,XOM,add_50,500.0
2020-10-01,XOM,add_50,500.0
2020-10-01,XOM,add_50,500.0
2020-10-01,XOM,add_50,500.0
2020-10-01,XOM,add_50,500.0
2020-10-01,XOM,add_50,500.0
2022-10-01,MSFT,add_25,500.0
2022-10-01,MSFT,add_25,500.0
2022-10-01,MSFT,add_25,500.0
2022-10-01,MSFT,add_25,500.0
2022-10-01,MSFT,add_25,500.0
2023-01-01,AAPL,add_25,500.0
2023-01-01,AAPL,add_25,500.0
2023-01-01,AAPL,add_25,500.0
2023-01-01,AAPL,add_25,500.0
2023-01-01,AAPL,add_25,500.0
2023-01-01,AAPL,add_25,500.0
2023-01-01,AAPL,add_25,500.0
2023-01-01,AAPL,add_25,500.0
2023-01-01,AAPL,add_25,500.0
