,top1_baseline_hold,top1_trailing_stop_25,top1_buy_the_dip_25_50
HIGH,668433.1156392985,1101363.9381502203,1740312.9847133684
LOW,299740.9257555134,734277.5318117605,398556.9511045725
MEDIUM,1492201.272560557,3364437.6852989267,3426961.9147769553
