scenario,window,stock_leg_invested,stock_leg_final,stock_leg_xirr,index_leg_invested,index_leg_final,index_leg_xirr,combined_final,combined_xirr
Baseline hold,1975–2026,102500.0,2460375.313955369,0.0972795929645281,102500.0,5508523.137345157,0.1187323787875233,7968898.451300526,0.1101578210590705
25% trailing stop → index,1975–2026,102500.0,5200079.1552609075,0.1172105747572068,102500.0,5508523.137345157,0.1187323787875233,10708602.292606063,0.117982616119289
Buy the dip −25%/−50%,1975–2026,270499.984,5565831.850594893,0.102794412418297,102500.0,5508523.137345157,0.1187323787875233,11074354.98794005,0.1099730595790347
Baseline hold,1995–2026,62500.0,442341.39449868375,0.10655501379807106,62500.0,444486.94134097063,0.10679156172185587,886828.3358396543,0.10667343919914875
25% trailing stop → index,1995–2026,62500.0,488825.7341553997,0.11142682464809531,62500.0,444486.94134097063,0.10679156172185587,933312.6754963703,0.10916733789114244
Buy the dip −25%/−50%,1995–2026,150500.0,1078641.7903558128,0.1130089648221112,62500.0,444486.94134097063,0.10679156172185587,1523128.7316967833,0.11103178067320885
"Top-10 equal-weight, baseline hold",2006–2026 (from 2006-04-01),40000.0,207746.05967011896,0.1467121052837686,40000.0,178310.54036407385,0.1341088501702063,386056.6000341928,0.140664174189058
