scenario,group,rule,start,valued_at,contributions,strategy_invested,dip_add_invested,index_invested,total_invested,strategy_value,index_leg_value,total_value,strategy_multiple,index_multiple,total_multiple,strategy_xirr,index_xirr,total_xirr,stop_outs,dip_adds
fundamental_baseline_hold,fundamentals,baseline_hold,2012-04-01,2026-01-02,56,28000.0,0.0,28000.0,56000.0,171543.9305228641,83759.70960462456,255303.64012748864,6.126568947245146,2.9914182001651626,4.558993573705155,0.2374978530490152,0.1473871092538761,0.20058980879000082,0,0
fundamental_trailing_stop_25,fundamentals,trailing_stop_25,2012-04-01,2026-01-02,56,28000.0,0.0,28000.0,56000.0,105605.13851340879,83759.70960462456,189364.84811803335,3.7716120897645995,2.9914182001651626,3.3815151449648813,0.1767643890315061,0.1473871092538761,0.162966090529638,38,0
fundamental_buy_the_dip_25_50,fundamentals,buy_the_dip_25_50,2012-04-01,2026-01-02,56,57000.0,29000.0,28000.0,85000.0,317837.6624464008,83759.70960462456,401597.37205102533,5.576099341164926,2.9914182001651626,4.72467496530618,0.2585180223191867,0.1473871092538761,0.2237419145319899,0,58
growth_only_baseline_hold,fundamentals,baseline_hold,2012-04-01,2026-01-02,56,28000.0,0.0,28000.0,56000.0,155834.03941104343,83759.70960462456,239593.749015668,5.5655014075372655,2.9914182001651626,4.278459803851215,0.22552416549938847,0.1473871092538761,0.1926257267335672,0,0
margin_only_baseline_hold,fundamentals,baseline_hold,2012-04-01,2026-01-02,56,28000.0,0.0,28000.0,56000.0,106072.4674447573,83759.70960462456,189832.17704938186,3.788302408741332,2.9914182001651626,3.3898603044532476,0.17732108048380452,0.1473871092538761,0.16327835779280822,0,0
top1_baseline_hold_from_2012,fundamentals,baseline_hold,2012-04-01,2026-01-02,56,28000.0,0.0,28000.0,56000.0,183211.92764294942,83759.70960462456,266971.637247574,6.543283130105336,2.9914182001651626,4.7673506651352495,0.24569367430359432,0.1473871092538761,0.2061853988337799,0,0
top1_trailing_stop_25_from_2012,fundamentals,trailing_stop_25,2012-04-01,2026-01-02,56,28000.0,0.0,28000.0,56000.0,90606.85825717836,83759.70960462456,174366.56786180293,3.235959223470656,2.9914182001651626,3.1136887118179097,0.15738559150107598,0.1473871092538761,0.15248990787886882,41,0
top1_buy_the_dip_25_50_from_2012,fundamentals,buy_the_dip_25_50,2012-04-01,2026-01-02,56,49000.0,21000.0,28000.0,77000.0,316661.37240687525,83759.70960462456,400421.0820114998,6.462476987895413,2.9914182001651626,5.20027379235714,0.26282813675039013,0.1473871092538761,0.22706497838863443,0,42
top10_ew_baseline_hold_from_2012,fundamentals,baseline_hold,2012-04-01,2026-01-02,56,28000.0,0.0,28000.0,56000.0,111804.83444968927,83759.70960462456,195564.54405431382,3.993029801774617,2.9914182001651626,3.4922240009698897,0.1839494951639482,0.1473871092538761,0.16704449184470926,0,0
