date,ticker,action,amount,origin_date
2001-01-01,MSFT,trailing_stop_sell,416.816607859765,1998-10-01
2001-01-01,MSFT,trailing_stop_sell,312.75339472808463,1999-01-01
2001-01-01,MSFT,trailing_stop_sell,233.98507026826988,1999-04-01
2001-01-01,MSFT,trailing_stop_sell,237.8340832986676,1999-07-01
2001-01-01,MSFT,trailing_stop_sell,241.01407292746558,1999-10-01
2001-01-01,MSFT,trailing_stop_sell,185.76012053238367,2000-01-01
2001-01-01,MSFT,trailing_stop_sell,204.11760600326852,2000-04-01
2002-07-01,GE,trailing_stop_sell,1906.8724238967359,1995-01-01
2002-07-01,GE,trailing_stop_sell,1787.4486611719012,1995-04-01
2002-07-01,GE,trailing_stop_sell,1699.6100919844812,1995-07-01
2002-07-01,GE,trailing_stop_sell,1493.397011431529,1995-10-01
2002-07-01,GE,trailing_stop_sell,1313.8456633322485,1996-01-01
2002-07-01,GE,trailing_stop_sell,1184.6406653436297,1996-04-01
2002-07-01,GE,trailing_stop_sell,1072.0023440915747,1996-07-01
2002-07-01,GE,trailing_stop_sell,1026.8914577837256,1996-10-01
2002-07-01,GE,trailing_stop_sell,936.4687365271869,1997-01-01
2002-07-01,GE,trailing_stop_sell,934.1199026056378,1997-04-01
2002-07-01,GE,trailing_stop_sell,692.6884659271119,1997-07-01
2002-07-01,GE,trailing_stop_sell,666.622396047093,1997-10-01
2002-07-01,GE,trailing_stop_sell,620.2610367398783,1998-01-01
2002-07-01,GE,trailing_stop_sell,524.4566412906529,1998-04-01
2002-07-01,GE,trailing_stop_sell,497.1376175684301,1998-07-01
2002-07-01,GE,trailing_stop_sell,277.9329605837338,2000-07-01
2002-07-01,GE,trailing_stop_sell,253.53562335297443,2000-10-01
2003-01-01,GE,trailing_stop_sell,264.6629389020396,2001-01-01
2003-01-01,GE,trailing_stop_sell,302.00043037186185,2001-04-01
2003-01-01,GE,trailing_stop_sell,257.99444427170397,2001-07-01
2008-07-01,GE,trailing_stop_sell,434.2986964528039,2001-10-01
2008-07-01,GE,trailing_stop_sell,406.04901008699863,2002-01-01
2008-07-01,GE,trailing_stop_sell,434.2852480467786,2002-04-01
2008-07-01,GE,trailing_stop_sell,610.1554181962366,2002-10-01
2008-07-01,GE,trailing_stop_sell,546.2136846858415,2003-07-01
2008-07-01,GE,trailing_stop_sell,507.39992183884334,2003-10-01
2008-07-01,GE,trailing_stop_sell,498.4014735032083,2004-01-01
2008-07-01,GE,trailing_stop_sell,501.20219313004185,2004-04-01
2008-07-01,GE,trailing_stop_sell,476.5686479673973,2004-07-01
2008-07-01,GE,trailing_stop_sell,446.42461220487235,2004-10-01
2008-07-01,GE,trailing_stop_sell,413.0216778541298,2005-01-01
2008-07-01,GE,trailing_stop_sell,422.36426757558735,2005-04-01
2008-07-01,GE,trailing_stop_sell,428.58346100390753,2005-07-01
2008-07-01,GE,trailing_stop_sell,419.02029168441254,2006-01-01
2009-01-01,MSFT,trailing_stop_sell,441.291112728835,2002-07-01
2009-01-01,MSFT,trailing_stop_sell,449.48514856299255,2003-01-01
2009-01-01,MSFT,trailing_stop_sell,475.6448048276647,2003-04-01
2010-07-01,XOM,trailing_stop_sell,490.6091121247938,2005-10-01
2010-07-01,XOM,trailing_stop_sell,506.9187118362703,2006-04-01
2010-07-01,XOM,trailing_stop_sell,500.3531364401492,2006-07-01
2010-07-01,XOM,trailing_stop_sell,455.3634970357691,2006-10-01
2010-07-01,XOM,trailing_stop_sell,397.01177206917635,2007-01-01
2010-07-01,XOM,trailing_stop_sell,401.5108519120329,2007-04-01
2010-07-01,XOM,trailing_stop_sell,359.60615633525146,2007-07-01
2010-07-01,XOM,trailing_stop_sell,319.78348959478717,2007-10-01
2010-07-01,XOM,trailing_stop_sell,319.42906761067684,2008-01-01
2010-07-01,XOM,trailing_stop_sell,342.4351177262427,2008-04-01
2010-07-01,XOM,trailing_stop_sell,335.7798342885761,2008-07-01
2015-10-01,XOM,trailing_stop_sell,566.2666667286774,2008-10-01
2015-10-01,XOM,trailing_stop_sell,554.2131827013561,2009-01-01
2015-10-01,XOM,trailing_stop_sell,635.8660576758671,2009-04-01
2015-10-01,XOM,trailing_stop_sell,620.1795634240478,2009-07-01
2015-10-01,XOM,trailing_stop_sell,646.5615728598412,2009-10-01
2015-10-01,XOM,trailing_stop_sell,634.1473716929692,2010-01-01
2015-10-01,XOM,trailing_stop_sell,635.4418806903452,2010-04-01
2015-10-01,XOM,trailing_stop_sell,753.7967258258335,2010-07-01
2015-10-01,XOM,trailing_stop_sell,677.474739808566,2010-10-01
2015-10-01,XOM,trailing_stop_sell,575.822761091856,2011-01-01
2015-10-01,XOM,trailing_stop_sell,494.6082380928742,2011-04-01
2015-10-01,XOM,trailing_stop_sell,507.83092087822365,2011-07-01
2015-10-01,XOM,trailing_stop_sell,485.2397696038687,2012-01-01
2015-10-01,XOM,trailing_stop_sell,438.3527510672529,2013-07-01
