scenario,group,rule,start,valued_at,contributions,strategy_invested,dip_add_invested,index_invested,total_invested,strategy_value,index_leg_value,total_value,strategy_multiple,index_multiple,total_multiple,strategy_xirr,index_xirr,total_xirr,stop_outs,dip_adds
partial_trim_once,rule_variants,partial_trim_25_50_1,1975-01-01,2026-01-02,205,102500.0,0.0,102500.0,205000.0,3830227.234608138,5508523.137345157,9338750.371953294,37.36807058154281,53.741689144830794,45.5548798631868,0.10910905816220967,0.11873237878752335,0.11436357761861102,0,0
partial_trim_once_from_1995,rule_variants,partial_trim_25_50_1,1995-01-01,2026-01-02,125,62500.0,0.0,62500.0,125000.0,465583.56432704173,444486.94134097063,910070.5056680124,7.449337029232668,7.11179106145553,7.280564045344099,0.10905514557180152,0.10679156172185587,0.10793722092294873,0,0
partial_trim_repeat,rule_variants,partial_trim_25_50_99,1975-01-01,2026-01-02,205,102500.0,0.0,102500.0,205000.0,4310895.436443975,5508523.137345157,9819418.57378913,42.05751645311195,53.741689144830794,47.89960279897137,0.11224733891060848,0.11873237878752335,0.11569162059717185,0,0
partial_trim_repeat_from_1995,rule_variants,partial_trim_25_50_99,1995-01-01,2026-01-02,125,62500.0,0.0,62500.0,125000.0,479852.6132833045,444486.94134097063,924339.5546242751,7.677641812532872,7.11179106145553,7.394716436994201,0.11052557223241201,0.10679156172185587,0.10869630144243492,0,0
stop_and_rebuy,rule_variants,trailing_stop_25,1975-01-01,2026-01-02,205,102500.0,0.0,102500.0,205000.0,3184549.6543500377,5508523.137345157,8693072.791695194,31.068777115610125,53.741689144830794,42.40523313022046,0.10419165284120918,0.11873237878752335,0.11246562361836923,385,0
stop_and_rebuy_from_1995,rule_variants,trailing_stop_25,1995-01-01,2026-01-02,125,62500.0,0.0,62500.0,125000.0,419819.0512149672,444486.94134097063,864305.9925559378,6.717104819439475,7.11179106145553,6.914447940447503,0.1039959636491131,0.10679156172185587,0.10541490202187856,194,0
stop_and_rebuy_any_top,rule_variants,trailing_stop_25,1975-01-01,2026-01-02,205,102500.0,0.0,102500.0,205000.0,2937173.7079465357,5508523.137345157,8445696.845291693,28.655353248258884,53.741689144830794,41.198521196544846,0.10203061604830937,0.11873237878752335,0.1117001008409438,406,0
stop_and_rebuy_any_top_from_1995,rule_variants,trailing_stop_25,1995-01-01,2026-01-02,125,62500.0,0.0,62500.0,125000.0,375869.57031164685,444486.94134097063,820356.5116526175,6.01391312498635,7.11179106145553,6.56285209322094,0.09855336253564446,0.10679156172185587,0.1028557039503111,211,0
vol_stop_k1,rule_variants,vol_scaled_stop_1.0_36_10_50,1975-01-01,2026-01-02,205,102500.0,0.0,102500.0,205000.0,4887830.8492606785,5508523.137345157,10396353.986605834,47.68615462693345,53.741689144830794,50.713921885882115,0.11557349324769176,0.11873237878752335,0.11720090778953912,201,0
vol_stop_k1_from_1995,rule_variants,vol_scaled_stop_1.0_36_10_50,1995-01-01,2026-01-02,125,62500.0,0.0,62500.0,125000.0,516392.7116584299,444486.94134097063,960879.6529994005,8.262283386534879,7.11179106145553,7.687037223995204,0.11409039442295602,0.10679156172185587,0.11058509260844818,101,0
vol_stop_k1.5,rule_variants,vol_scaled_stop_1.5_36_10_50,1975-01-01,2026-01-02,205,102500.0,0.0,102500.0,205000.0,3554688.353080549,5508523.137345157,9063211.490425706,34.67988637151755,53.741689144830794,44.21078775817418,0.10712307178871798,0.11873237878752335,0.11357052522014735,181,0
vol_stop_k1.5_from_1995,rule_variants,vol_scaled_stop_1.5_36_10_50,1995-01-01,2026-01-02,125,62500.0,0.0,62500.0,125000.0,544188.7944028658,444486.94134097063,988675.7357438365,8.707020710445853,7.11179106145553,7.909405885950692,0.11662889475046322,0.10679156172185587,0.11197185693693558,69,0
