# S&P 500 total-return level. <1988-01-04: ^GSPC daily price return + Shiller monthly dividends (http://www.econ.yale.edu/~shiller/data/ie_data.xls) accrued daily; >=1988-01-04: ^SP500TR daily returns. Built by sp500bt.index_tr.write_manual_csv()
date,close
1970-01-02,43.672827
1970-01-05,43.894738
1970-01-06,43.600049
1970-01-07,43.516696
1970-01-08,43.546085
1970-01-09,43.420424
1970-01-12,43.097378
1970-01-13,43.206674
1970-01-14,43.085664
1970-01-15,43.105668
1970-01-16,42.754236
1970-01-19,42.162935
1970-01-20,42.253494
1970-01-21,42.315841
1970-01-22,42.364087
1970-01-23,42.054758
1970-01-26,41.495980
1970-01-27,41.243040
1970-01-28,40.858264
1970-01-29,40.346325
1970-01-30,40.036770
1970-02-02,40.387076
1970-02-03,40.874022
1970-02-04,40.630902
1970-02-05,40.477261
1970-02-06,40.686428
1970-02-09,41.013450
1970-02-10,40.591053
1970-02-11,40.993613
1970-02-12,40.901144
1970-02-13,40.818091
1970-02-16,40.791625
1970-02-17,40.751003
1970-02-18,41.262403
1970-02-19,41.419963
1970-02-20,41.553948
1970-02-24,41.541622
1970-02-25,42.190259
1970-02-26,41.984333
1970-02-27,42.274250
1970-03-02,42.379382
1970-03-03,42.630977
1970-03-04,42.547150
1970-03-05,42.534192
1970-03-06,42.275481
1970-03-09,41.841845
1970-03-10,41.961247
1970-03-11,41.938828
1970-03-12,41.774543
1970-03-13,41.558211
1970-03-16,41.114808
1970-03-17,41.300526
1970-03-18,41.424763
1970-03-19,41.373929
1970-03-20,41.209502
1970-03-23,41.182323
1970-03-24,41.656961
1970-03-25,42.510447
1970-03-26,42.587437
1970-03-30,42.456046
1970-03-31,42.462004
1970-04-01,42.676149
1970-04-02,42.549178
1970-04-03,42.365324
1970-04-06,42.072441
1970-04-07,41.964375
1970-04-08,41.955852
1970-04-09,41.980517
1970-04-10,41.848700
1970-04-13,41.569845
1970-04-14,41.219803
1970-04-15,41.149604
1970-04-16,40.752017
1970-04-17,40.658071
1970-04-20,40.739712
1970-04-21,40.531820
1970-04-22,40.010584
1970-04-23,39.432301
1970-04-24,39.309795
1970-04-27,38.693349
1970-04-28,38.133809
1970-04-29,38.871127
1970-04-30,38.739047
1970-05-01,38.707024
1970-05-04,37.729180
1970-05-05,37.369145
1970-05-06,37.788767
1970-05-07,37.965945
1970-05-08,37.786462
1970-05-11,37.392902
1970-05-12,37.042097
1970-05-13,36.420021
1970-05-14,35.907299
1970-05-15,36.608217
1970-05-18,36.642780
1970-05-19,35.934591
1970-05-20,35.016750
1970-05-21,34.375005
1970-05-22,34.423882
1970-05-25,33.476978
1970-05-26,33.025506
1970-05-27,34.690176
1970-05-28,35.573333
1970-05-29,36.504318
1970-06-01,37.125220
1970-06-02,37.130965
1970-06-03,37.461082
1970-06-04,36.913407
1970-06-05,36.351328
1970-06-08,36.414347
1970-06-09,36.401003
1970-06-10,36.039165
1970-06-11,35.553122
1970-06-12,35.286675
1970-06-15,35.626765
1970-06-16,36.382506
1970-06-17,36.316594
1970-06-18,36.566055
1970-06-19,36.829892
1970-06-22,36.639668
1970-06-23,35.746647
1970-06-24,35.374666
1970-06-25,35.404335
1970-06-26,35.147030
1970-06-29,34.875327
1970-06-30,34.799752
1970-07-01,34.910803
1970-07-02,34.907000
1970-07-06,34.367051
1970-07-07,34.109496
1970-07-08,34.962858
1970-07-09,35.476312
1970-07-10,35.668906
1970-07-13,35.722596
1970-07-14,35.666078
1970-07-15,36.060056
1970-07-16,36.597889
1970-07-17,37.250872
1970-07-20,37.304600
1970-07-21,36.921944
1970-07-22,36.951707
1970-07-23,37.422806
1970-07-24,37.342231
1970-07-27,37.266443
1970-07-28,37.329819
1970-07-29,37.465210
1970-07-30,37.485400
1970-07-31,37.481589
1970-08-03,36.993026
1970-08-04,37.080754
1970-08-05,37.082024
1970-08-06,37.040054
1970-08-07,37.142238
1970-08-10,36.629246
1970-08-11,36.452660
1970-08-12,36.266428
1970-08-13,35.955143
1970-08-14,36.163219
1970-08-17,36.241456
1970-08-18,36.666097
1970-08-19,37.037881
1970-08-20,37.467476
1970-08-21,38.147439
1970-08-24,38.996005
1970-08-25,39.064690
1970-08-26,39.114119
1970-08-27,39.057597
1970-08-28,39.439428
1970-08-31,39.281709
1970-09-01,39.013145
1970-09-02,39.024067
1970-09-03,39.574846
1970-09-04,39.937698
1970-09-08,40.045056
1970-09-09,39.930601
1970-09-10,39.700375
1970-09-11,39.812603
1970-09-14,39.601605
1970-09-15,39.265114
1970-09-16,39.478746
1970-09-17,39.726198
1970-09-18,39.891620
1970-09-21,39.554922
1970-09-22,39.536888
1970-09-23,39.567152
1970-09-24,39.452503
1970-09-25,40.023882
1970-09-28,40.551861
1970-09-29,40.533813
1970-09-30,40.752607
1970-10-01,40.768085
1970-10-02,41.180032
1970-10-05,41.819308
1970-10-06,42.008899
1970-10-07,42.034061
1970-10-08,41.585139
1970-10-09,41.170025
1970-10-12,40.735493
1970-10-13,40.688074
1970-10-14,40.756819
1970-10-15,40.985326
1970-10-16,40.812000
1970-10-19,40.270628
1970-10-20,40.513761
1970-10-21,40.529274
1970-10-22,40.399447
1970-10-23,40.594234
1970-10-26,40.377148
1970-10-27,40.290890
1970-10-28,40.446982
1970-10-29,40.418874
1970-10-30,40.371366
1970-11-02,40.503830
1970-11-03,40.854571
1970-11-04,40.943417
1970-11-05,40.809099
1970-11-06,40.873712
1970-11-09,41.098488
1970-11-10,41.163121
1970-11-11,41.286018
1970-11-12,40.865125
1970-11-13,40.492728
1970-11-16,40.435973
1970-11-17,40.554092
1970-11-18,40.230103
1970-11-19,40.294807
1970-11-20,40.694863
1970-11-23,40.954018
1970-11-24,41.222939
1970-11-25,41.380065
1970-11-27,41.794964
1970-11-30,42.419067
1970-12-01,42.556198
1970-12-02,43.053374
1970-12-03,43.263528
1970-12-04,43.541841
1970-12-07,43.781257
1970-12-08,43.558258
1970-12-09,43.598128
1970-12-10,43.788945
1970-12-11,43.960311
1970-12-14,43.742065
1970-12-15,43.679664
1970-12-16,43.714688
1970-12-17,43.876398
1970-12-18,43.969908
1970-12-21,43.839243
1970-12-22,43.893783
1970-12-23,43.928829
1970-12-24,44.183283
1970-12-28,44.423138
1970-12-29,44.911749
1970-12-30,45.010219
1970-12-31,44.957486
1971-01-04,44.475976
1971-01-05,44.799503
1971-01-06,45.074272
1971-01-07,45.095279
1971-01-08,45.008900
1971-01-11,44.912741
1971-01-12,45.280442
1971-01-13,45.208672
1971-01-14,45.332267
1971-01-15,45.450989
1971-01-18,45.643017
1971-01-19,45.820409
1971-01-20,45.836555
1971-01-21,46.043326
1971-01-22,46.386994
1971-01-25,46.588932
1971-01-26,46.746888
1971-01-27,46.410942
1971-01-28,46.573834
1971-01-29,46.907956
1971-02-01,47.178839
1971-02-02,47.190429
1971-02-03,47.294999
1971-02-04,47.296805
1971-02-05,47.455251
1971-02-08,47.716532
1971-02-09,47.752614
1971-02-10,47.700548
1971-02-11,47.961943
1971-02-12,48.223370
1971-02-16,48.342759
1971-02-17,48.124064
1971-02-18,47.817131
1971-02-19,47.421931
1971-02-22,46.928637
