# AT&T Corp 1984-01..2005-11-18 total-return level (month-end); spinoff value reinvested via IRS basis allocations; first row = $18.00 first regular-way value (Wollman) dated 1983-12-30; 1998 month-ends log-interpolated between dividend-date prices: 1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12
date,close,nominal
1983-12-30,1.000000,18.000000
1984-01-31,0.982222,17.380000
1984-02-29,0.960747,17.000000
1984-03-31,0.883322,15.630000
1984-04-30,0.921187,16.000000
1984-05-31,0.885491,15.380000
1984-06-30,0.993154,17.250000
1984-07-31,1.039214,17.750000
1984-08-31,1.120009,19.130000
1984-09-30,1.163919,19.880000
1984-10-31,1.100688,18.500000
1984-11-30,1.123297,18.880000
1984-12-31,1.175059,19.750000
1985-01-31,1.237530,20.500000
1985-02-28,1.282806,21.250000
1985-03-31,1.305746,21.630000
1985-04-30,1.285824,21.000000
1985-05-31,1.431551,23.380000
1985-06-30,1.477473,24.130000
1985-07-31,1.334808,21.500000
1985-08-31,1.319287,21.250000
1985-09-30,1.296316,20.880000
1985-10-31,1.306870,20.750000
1985-11-30,1.480070,23.500000
1985-12-31,1.574543,25.000000
1986-01-31,1.357256,21.250000
1986-02-28,1.445397,22.630000
1986-03-31,1.413462,22.130000
1986-04-30,1.599965,24.750000
1986-05-31,1.624530,25.130000
1986-06-30,1.640691,25.380000
1986-07-31,1.546956,23.630000
1986-08-31,1.612422,24.630000
1986-09-30,1.489346,22.750000
1986-10-31,1.656284,25.000000
1986-11-30,1.797399,27.130000
1986-12-31,1.664896,25.130000
1987-01-31,1.668209,24.880000
1987-02-28,1.508630,22.500000
1987-03-31,1.584396,23.630000
1987-04-30,1.646082,24.250000
1987-05-31,1.747902,25.750000
1987-06-30,1.875516,27.630000
1987-07-31,2.192514,32.000000
1987-08-31,2.312417,33.750000
1987-09-30,2.312417,33.750000
1987-10-31,2.050686,29.630000
1987-11-30,1.860359,26.880000
1987-12-31,1.868664,27.000000
1988-01-31,2.097056,30.000000
1988-02-29,2.053717,29.380000
1988-03-31,1.887351,27.000000
1988-04-30,1.873370,26.500000
1988-05-31,1.926390,27.250000
1988-06-30,1.900234,26.880000
1988-07-31,1.912252,26.750000
1988-08-31,1.742830,24.380000
1988-09-30,1.867930,26.130000
1988-10-31,2.068091,28.630000
1988-11-30,2.148994,29.750000
1988-12-31,2.076759,28.750000
1989-01-31,2.297076,31.500000
1989-02-28,2.205923,30.250000
1989-03-31,2.297076,31.500000
1989-04-30,2.574184,35.000000
1989-05-31,2.610958,35.500000
1989-06-30,2.574184,35.000000
1989-07-31,3.010324,40.630000
1989-08-31,2.973279,40.130000
1989-09-30,3.260012,44.000000
1989-10-31,3.300762,44.250000
1989-11-30,3.263465,43.750000
1989-12-31,3.394004,45.500000
1990-01-31,2.933762,39.000000
1990-02-28,2.990180,39.750000
1990-03-31,3.159436,42.000000
1990-04-30,3.043590,40.130000
1990-05-31,3.271120,43.130000
1990-06-30,2.929825,38.630000
1990-07-31,2.831229,37.000000
1990-08-31,2.401188,31.380000
1990-09-30,2.372111,31.000000
1990-10-31,2.626921,34.000000
1990-11-30,2.482440,32.130000
1990-12-31,2.327916,30.130000
1991-01-31,2.555840,32.750000
1991-02-28,2.605005,33.380000
1991-03-31,2.683046,34.380000
1991-04-30,2.952288,37.500000
1991-05-31,2.923158,37.130000
1991-06-30,3.011333,38.250000
1991-07-31,3.165640,39.880000
1991-08-31,3.095786,39.000000
1991-09-30,2.976717,37.500000
1991-10-31,3.102136,38.750000
1991-11-30,2.901998,36.250000
1991-12-31,3.132557,39.130000
1992-01-31,3.008472,37.250000
1992-02-29,2.998376,37.125000
1992-03-31,3.291147,40.750000
1992-04-30,3.519710,43.250000
1992-05-31,3.519710,43.250000
1992-06-30,3.499365,43.000000
1992-07-31,3.597835,43.880000
1992-08-31,3.464187,42.250000
1992-09-30,3.577337,43.630000
1992-10-31,3.604395,43.630000
1992-11-30,3.893539,47.130000
1992-12-31,4.295864,52.000000
1993-01-31,4.395825,52.880000
1993-02-28,4.645210,55.880000
1993-03-31,4.717532,56.750000
1993-04-30,4.672642,55.880000
1993-05-31,5.142582,61.500000
1993-06-30,5.268011,63.000000
1993-07-31,5.327381,63.380000
1993-08-31,5.285354,62.880000
1993-09-30,4.949135,58.880000
1993-10-31,4.860878,57.500000
1993-11-30,4.618257,54.630000
1993-12-31,4.438193,52.500000
1994-01-31,4.825372,56.750000
1994-02-28,4.464001,52.500000
1994-03-31,4.357715,51.250000
1994-04-30,4.385774,51.250000
1994-05-31,4.675022,54.630000
1994-06-30,4.653628,54.380000
1994-07-31,4.703262,54.630000
1994-08-31,4.703262,54.630000
1994-09-30,4.649023,54.000000
1994-10-31,4.763527,55.000000
1994-11-30,4.255129,49.130000
1994-12-31,4.352131,50.250000
1995-01-31,4.348667,49.880000
1995-02-28,4.501236,51.630000
1995-03-31,4.511698,51.750000
1995-04-30,4.453286,50.750000
1995-05-31,4.453286,50.750000
1995-06-30,4.650722,53.000000
1995-07-31,4.657742,52.750000
1995-08-31,5.000340,56.630000
1995-09-30,5.805622,65.750000
1995-10-31,5.680238,64.000000
1995-11-30,5.847095,65.880000
1995-12-31,5.746803,64.750000
1996-01-31,5.965138,66.880000
1996-02-29,5.663670,63.500000
1996-03-31,5.452286,61.130000
1996-04-30,5.492422,61.250000
1996-05-31,5.593751,62.380000
1996-06-30,5.559676,62.000000
1996-07-31,4.714964,52.250000
1996-08-31,4.737524,52.500000
1996-09-30,4.730600,37.750000
1996-10-31,4.427340,35.000000
1996-11-30,4.964946,39.250000
1996-12-31,5.281184,41.750000
1997-01-31,5.270753,39.380000
1997-02-28,5.337674,39.880000
1997-03-31,4.668457,34.880000
1997-04-30,4.527922,33.500000
