# Pre-divestiture AT&T total-return level (month-end). Prices: data/sources/att_monthly_prices_historicalstockinfo.csv; dividends: AT&T annual reports 1974-83.
date,close,nominal
1974-01-31,1.000000,50.500000
1974-02-28,1.035842,52.310000
1974-03-31,1.000396,49.750000
1974-04-30,0.948918,47.190000
1974-05-31,0.924989,46.000000
1974-06-30,0.949321,46.440000
1974-07-31,0.866327,42.380000
1974-08-31,0.861216,42.130000
1974-09-30,0.864487,41.440000
1974-10-31,0.967541,46.380000
1974-11-30,0.887851,42.560000
1974-12-31,0.947306,44.560000
1975-01-31,1.028515,48.380000
1975-02-28,1.068270,50.250000
1975-03-31,1.074435,49.690000
1975-04-30,1.054110,48.750000
1975-05-31,1.063624,49.190000
1975-06-30,1.119843,50.940000
1975-07-31,1.077195,49.000000
1975-08-31,1.011244,46.000000
1975-09-30,1.027292,45.880000
1975-10-31,1.105660,49.380000
1975-11-30,1.130738,50.500000
1975-12-31,1.158278,50.880000
1976-01-31,1.253436,55.060000
1976-02-29,1.280526,56.250000
1976-03-31,1.305112,56.380000
1976-04-30,1.326640,57.310000
1976-05-31,1.262982,54.560000
1976-06-30,1.331733,56.580000
1976-07-31,1.347503,57.250000
1976-08-31,1.399049,59.440000
1976-09-30,1.437650,60.130000
1976-10-31,1.451039,60.690000
1976-11-30,1.468971,61.440000
1976-12-31,1.538068,63.380000
1977-01-31,1.530303,63.060000
1977-02-28,1.540980,63.500000
1977-03-31,1.545348,62.630000
1977-04-30,1.548309,62.750000
1977-05-31,1.551517,62.880000
1977-06-30,1.588035,63.310000
1977-07-31,1.572483,62.690000
1977-08-31,1.512784,60.310000
1977-09-30,1.611362,63.190000
1977-10-31,1.514206,59.380000
1977-11-30,1.504516,59.000000
1977-12-31,1.566482,60.380000
1978-01-31,1.499807,57.810000
1978-02-28,1.550137,59.750000
1978-03-31,1.620445,61.310000
1978-04-30,1.655333,62.630000
1978-05-31,1.609080,60.880000
1978-06-30,1.617802,60.060000
1978-07-31,1.622920,60.250000
1978-08-31,1.633156,60.630000
1978-09-30,1.702652,62.060000
1978-10-31,1.663419,60.630000
1978-11-30,1.656560,60.380000
1978-12-31,1.696616,60.690000
1979-01-31,1.766504,63.190000
1979-02-28,1.713948,61.310000
1979-03-31,1.745538,61.190000
1979-04-30,1.666805,58.430000
1979-05-31,1.641986,57.560000
1979-06-30,1.679641,57.630000
1979-07-31,1.672355,57.380000
1979-08-31,1.648456,56.560000
1979-09-30,1.646707,55.250000
1979-10-31,1.590973,53.380000
1979-11-30,1.598424,53.630000
1979-12-31,1.590973,52.130000
1980-01-31,1.543057,50.560000
1980-02-29,1.472558,48.250000
1980-03-31,1.508876,48.190000
1980-04-30,1.643826,52.500000
1980-05-31,1.669188,53.310000
1980-06-30,1.682965,52.500000
1980-07-31,1.665013,51.940000
1980-08-31,1.703160,53.130000
1980-09-30,1.692982,51.562500
1980-10-31,1.625263,49.500000
1980-11-30,1.551387,47.250000
1980-12-31,1.619025,48.060000
1981-01-31,1.743332,51.750000
1981-02-28,1.737015,51.562500
1981-03-31,1.784767,51.630000
1981-04-30,1.918547,55.500000
1981-05-31,1.994252,57.690000
1981-06-30,2.001857,56.560000
1981-07-31,1.995486,56.380000
1981-08-31,1.977790,55.880000
1981-09-30,2.093880,57.810000
1981-10-31,2.123581,58.630000
1981-11-30,2.164147,59.750000
1981-12-31,2.178997,58.810000
1982-01-31,2.218642,59.880000
1982-02-28,2.017082,54.440000
1982-03-31,2.141205,56.440000
1982-04-30,2.063053,54.380000
1982-05-31,2.010699,53.000000
1982-06-30,1.986040,51.000000
1982-07-31,2.037054,52.310000
1982-08-31,2.192821,56.310000
1982-09-30,2.252792,56.500000
1982-10-31,2.364833,59.310000
1982-11-30,2.372409,59.500000
1982-12-31,2.431420,59.630000
1983-01-31,2.805736,68.810000
1983-02-28,2.729487,66.940000
1983-03-31,2.671178,65.060000
1983-04-30,2.834586,67.690000
1983-05-31,2.769259,66.130000
1983-06-30,2.656613,63.440000
1983-07-31,2.618924,61.190000
1983-08-31,2.795260,65.310000
1983-09-30,2.787556,65.130000
1983-10-31,2.692540,61.560000
1983-11-30,2.821131,64.500000
1983-12-30,2.686854,61.430000
